Time,Object,Event
191.03205848389052,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
191.08516397481972,ship.13,Ship has loaded 25 batteries from Antwerp
191.08516397481972,Antwerp,Antwerp has 10 batteries left.
191.08516397481972,Antwerp,"Warning activated in Antwerp, only 10 batteries left"
192.09641150869038,ship.18,loaded 74 containers as cargo in Liege
192.10066686183214,ship.9,loaded 69 containers as cargo in Duisburg
194.34641150869038,ship.18,Ship has loaded 45 batteries from Liege
194.34641150869038,Liege,Liege has 35 batteries left.
194.71676313762077,Antwerp,"Warning deactivated in Antwerp, 35 batteries available"
196.4000964709541,ship.1,loaded 67 containers as cargo in Antwerp
197.6500964709541,ship.1,Ship has loaded 25 batteries from Antwerp
197.6500964709541,Antwerp,Antwerp has 55 batteries left.
197.92096678703504,Duisburg,"Warning deactivated in Duisburg, 35 batteries available"
198.10037703184466,ship.17,loaded 51 containers as cargo in Antwerp
199.0876334537017,ship.8,loaded 50 containers as cargo in Duisburg
200.3376334537017,ship.8,Ship has loaded 25 batteries from Duisburg
200.3376334537017,Duisburg,Duisburg has 10 batteries left.
200.3376334537017,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
200.35037703184466,ship.17,Ship has loaded 45 batteries from Antwerp
200.35037703184466,Antwerp,Antwerp has 10 batteries left.
200.35037703184466,Antwerp,"Warning activated in Antwerp, only 10 batteries left"
205.32222222222225,Rotterdam,"Warning deactivated in Rotterdam, 45 batteries available"
207.5456764024307,ship.19,loaded 95 containers as cargo in Rotterdam
207.9166666666667,ship.0,loaded 83 containers as cargo in Rotterdam
207.94108336326542,ship.5,loaded 56 containers as cargo in Strasbourg
208.7956764024307,ship.19,Ship has loaded 25 batteries from Rotterdam
208.7956764024307,Rotterdam,Rotterdam has 20 batteries left.
208.7956764024307,Rotterdam,"Warning activated in Rotterdam, only 20 batteries left"
208.86194422572794,Antwerp,"Warning deactivated in Antwerp, 55 batteries available"
209.19108336326542,ship.5,Ship has loaded 25 batteries from Strasbourg
209.19108336326542,Strasbourg,Strasbourg has 94 batteries left.
210.1666666666667,ship.0,Ship has loaded 45 batteries from Rotterdam
210.1666666666667,Rotterdam,Rotterdam has -25 batteries left.
211.2174997812835,ship.4,loaded 80 containers as cargo in Antwerp
211.53178226425842,ship.2,loaded 90 containers as cargo in Paris
212.4674997812835,ship.4,Ship has loaded 25 batteries from Antwerp
212.4674997812835,Antwerp,Antwerp has 30 batteries left.
212.78178226425842,ship.2,Ship has loaded 25 batteries from Paris
212.78178226425842,Paris,Paris has 75 batteries left.
