Time,Object,Event
144.76789908755856,ship.7,loaded 60 containers as cargo in Rotterdam
145.55756160066773,ship.14,loaded 90 containers as cargo in Louviere
145.78978279278397,ship.4,Ship has loaded 25 batteries from Mannheim
145.78978279278397,Mannheim,Mannheim has 98 batteries left.
146.01789908755856,ship.7,Ship has loaded 25 batteries from Rotterdam
146.01789908755856,Rotterdam,Rotterdam has 12 batteries left.
146.01789908755856,Rotterdam,"Warning activated in Rotterdam, only 12 batteries left"
146.5869229131148,ship.5,loaded 93 containers as cargo in Rotterdam
146.80756160066773,ship.14,Ship has loaded 25 batteries from Louviere
146.80756160066773,Louviere,Louviere has 75 batteries left.
149.2234178168745,ship.2,Ship has loaded 45 batteries from Antwerp
149.2234178168745,Antwerp,Antwerp has 15 batteries left.
149.2234178168745,Antwerp,"Warning activated in Antwerp, only 15 batteries left"
150.4879545024865,ship.0,loaded 83 containers as cargo in Antwerp
158.31789908755857,ship.7,loaded 61 containers as cargo in Amsterdam
158.80012037528581,ship.15,loaded 56 containers as cargo in Rotterdam
159.36115624067352,ship.3,loaded 59 containers as cargo in Liege
160.56789908755857,ship.7,Ship has loaded 45 batteries from Amsterdam
160.56789908755857,Amsterdam,Amsterdam has 10 batteries left.
160.56789908755857,Amsterdam,"Warning activated in Amsterdam, only 10 batteries left"
160.61115624067352,ship.3,Ship has loaded 25 batteries from Liege
160.61115624067352,Liege,Liege has 100 batteries left.
161.7379545024865,ship.0,Ship has loaded 25 batteries from Antwerp
161.7379545024865,Antwerp,Antwerp has 31 batteries left.
161.7379545024865,Antwerp,"Warning deactivated in Antwerp, 31 batteries available"
162.1970293358712,ship.13,loaded 57 containers as cargo in Sittard
162.8369229131148,ship.5,Ship has loaded 25 batteries from Rotterdam
162.8369229131148,Rotterdam,Rotterdam has 30 batteries left.
162.8369229131148,Rotterdam,"Warning deactivated in Rotterdam, 30 batteries available"
163.05012037528581,ship.15,Ship has loaded 25 batteries from Rotterdam
163.05012037528581,Rotterdam,Rotterdam has 5 batteries left.
163.05012037528581,Rotterdam,"Warning activated in Rotterdam, only 5 batteries left"
163.4470293358712,ship.13,Ship has loaded 25 batteries from Sittard
163.4470293358712,Sittard,Sittard has 100 batteries left.
163.78023121731195,ship.10,loaded 67 containers as cargo in Antwerp
164.71523508370316,ship.11,loaded 62 containers as cargo in Antwerp
165.03023121731195,ship.10,Ship has loaded 25 batteries from Antwerp
165.03023121731195,Antwerp,Antwerp has 6 batteries left.
165.03023121731195,Antwerp,"Warning activated in Antwerp, only 6 batteries left"
165.05613335883905,ship.16,loaded 52 containers as cargo in Antwerp
165.20675115020785,ship.2,loaded 73 containers as cargo in Rotterdam
165.96523508370316,ship.11,Ship has loaded 25 batteries from Antwerp
165.96523508370316,Antwerp,Antwerp has -19 batteries left.
172.33239484858385,ship.17,loaded 78 containers as cargo in Dordrecht
174.58239484858385,ship.17,Ship has loaded 45 batteries from Dordrecht
174.58239484858385,Dordrecht,Dordrecht has 55 batteries left.
178.0869229131148,ship.5,loaded 79 containers as cargo in Velsen
178.6468978839786,ship.10,loaded 87 containers as cargo in Vlissingen
180.3369229131148,ship.5,Ship has loaded 45 batteries from Velsen
180.3369229131148,Velsen,Velsen has 80 batteries left.
180.78565746237774,ship.1,loaded 93 containers as cargo in Ludwigshafen
180.8968978839786,ship.10,Ship has loaded 45 batteries from Vlissingen
180.8968978839786,Vlissingen,Vlissingen has 35 batteries left.
183.03565746237774,ship.1,Ship has loaded 45 batteries from Ludwigshafen
183.03565746237774,Ludwigshafen,Ludwigshafen has 56 batteries left.
184.41129655897404,ship.18,loaded 94 containers as cargo in Antwerp
184.86315831537922,Antwerp,"Warning deactivated in Antwerp, 35 batteries available"
185.30613335883905,ship.16,Ship has loaded 25 batteries from Antwerp
185.30613335883905,Antwerp,Antwerp has 10 batteries left.
185.30613335883905,Antwerp,"Warning activated in Antwerp, only 10 batteries left"
185.66129655897404,ship.18,Ship has loaded 25 batteries from Antwerp
185.66129655897404,Antwerp,Antwerp has -15 batteries left.
187.4298249820459,ship.12,loaded 86 containers as cargo in Antwerp
189.68795450248652,ship.0,loaded 51 containers as cargo in Duisburg
191.93795450248652,ship.0,Ship has loaded 45 batteries from Duisburg
191.93795450248652,Duisburg,Duisburg has 55 batteries left.
193.13692291311477,Rotterdam,"Warning deactivated in Rotterdam, 55 batteries available"
193.45675115020785,ship.2,Ship has loaded 25 batteries from Rotterdam
193.45675115020785,Rotterdam,Rotterdam has 30 batteries left.
194.789782792784,ship.4,loaded 86 containers as cargo in Velsen
196.039782792784,ship.4,Ship has loaded 25 batteries from Velsen
196.039782792784,Velsen,Velsen has 79 batteries left.
196.3369229131148,ship.5,loaded 88 containers as cargo in Rotterdam
197.24154438759925,ship.19,loaded 67 containers as cargo in Duisburg
199.49154438759925,ship.19,Ship has loaded 45 batteries from Duisburg
199.49154438759925,Duisburg,Duisburg has 10 batteries left.
199.49154438759925,Duisburg,"Warning activated in Duisburg, only 10 batteries left"
200.05758885516698,Amsterdam,"Warning deactivated in Amsterdam, 60 batteries available"
201.05758885516698,ship.6,loaded 52 containers as cargo in Amsterdam
202.4214892258804,ship.15,loaded 92 containers as cargo in Amsterdam
203.30758885516698,ship.6,Ship has loaded 45 batteries from Amsterdam
203.30758885516698,Amsterdam,Amsterdam has 15 batteries left.
203.30758885516698,Amsterdam,"Warning activated in Amsterdam, only 15 batteries left"
203.6714892258804,ship.15,Ship has loaded 25 batteries from Amsterdam
203.6714892258804,Amsterdam,Amsterdam has -10 batteries left.
204.22192932179942,ship.20,loaded 61 containers as cargo in Rotterdam
206.73137390409116,ship.14,loaded 83 containers as cargo in Antwerp
209.47192932179942,ship.20,Ship has loaded 45 batteries from Rotterdam
209.47192932179942,Rotterdam,Rotterdam has 10 batteries left.
209.47192932179942,Rotterdam,"Warning activated in Rotterdam, only 10 batteries left"
209.5869229131148,ship.5,Ship has loaded 45 batteries from Rotterdam
209.5869229131148,Rotterdam,Rotterdam has -35 batteries left.
209.689782792784,ship.4,loaded 54 containers as cargo in Rotterdam
210.5496171557995,ship.21,loaded 64 containers as cargo in Rotterdam
212.50585362833968,ship.13,loaded 74 containers as cargo in Vlissingen
214.75585362833968,ship.13,Ship has loaded 45 batteries from Vlissingen
214.75585362833968,Vlissingen,Vlissingen has 15 batteries left.
214.75585362833968,Vlissingen,"Warning activated in Vlissingen, only 15 batteries left"
215.50462116915318,ship.0,loaded 62 containers as cargo in Rotterdam
219.6717792198841,ship.16,loaded 78 containers as cargo in Dordrecht
220.9217792198841,ship.16,Ship has loaded 25 batteries from Dordrecht
220.9217792198841,Dordrecht,Dordrecht has 55 batteries left.
222.57025624644814,Amsterdam,"Warning deactivated in Amsterdam, 35 batteries available"
